min, max, avg
0, 2669, 1101.95
0, 1982, 786.785
0, 1938, 803.37
0, 2425, 972.175
0, 2454, 997.495
0, 2341, 895.08
0, 2413, 998.805
0, 2453, 929.925
0, 2430, 968.785
0, 2431, 932.59
0, 2388, 993.16
0, 2363, 916.87
0, 2455, 992.44
0, 2367, 886.165
0, 2377, 962.4
0, 2362, 925.99
0, 2417, 926.63
0, 2425, 924.895
0, 2415, 976.035
0, 2399, 862.235
0, 2419, 941.935
0, 2374, 938.2
0, 2443, 965.005
0, 2359, 1028.84
0, 2347, 941.135
0, 2353, 948.02
0, 2375, 909.575
0, 2372, 932.78
0, 2386, 947.87
0, 2406, 947.49
0, 2470, 954.41
0, 2384, 948.68
0, 2325, 924.66
0, 2342, 939.975
0, 2333, 970.875
0, 2339, 966.41
0, 2387, 891.265
0, 2406, 922.67
0, 2338, 883.85
0, 2384, 919.95
0, 2334, 950.945
0, 2325, 920.965
0, 2453, 900.135
0, 2370, 903.615
0, 2340, 990.325
0, 2384, 921.865
0, 2354, 884.68
0, 2362, 866.105
0, 2349, 919.83
0, 2293, 893.615
0, 2295, 927.455
0, 2336, 885.305
0, 2342, 954.94
0, 2348, 915.27
0, 2335, 991
0, 2319, 867.615
0, 2306, 939.665
0, 2354, 876.58
0, 2308, 958.43
0, 2427, 882.4
0, 2309, 925.945
0, 2411, 876.625
0, 2403, 881.945
0, 2371, 910.325
0, 2342, 914.77
0, 2337, 895.49
0, 2332, 928.34
0, 2307, 926.76
0, 2372, 942.385
0, 2281, 913.805
0, 2273, 890.665
0, 2320, 911.175
0, 2301, 918.83
0, 2311, 921.13
0, 2318, 859.31
0, 2371, 934.27
0, 2317, 940.04
0, 2356, 931.85
0, 2330, 867.065
0, 2358, 942.935
0, 2335, 954.47
0, 2352, 906.115
0, 2420, 931.895
0, 2305, 913.895
0, 2320, 950.135
0, 2380, 941.12
0, 2350, 926.785
0, 2364, 848.455
0, 2327, 857.18
0, 2321, 885.225
0, 2365, 897.34
0, 2320, 953.095
0, 2383, 889.7
0, 2429, 930.42
0, 2363, 893.06
0, 2359, 889.625
0, 2336, 883.125
0, 2287, 941.835
0, 2342, 822.155
0, 2306, 928.765
0, 2283, 879.155
0, 2315, 920.88
0, 2336, 870.655
0, 2302, 934.4
0, 2341, 861.61
0, 2278, 901.3
0, 2289, 881.65
0, 2272, 906.79
0, 2305, 845.97
0, 2327, 902.84
0, 2277, 912.105
0, 2314, 856.43
0, 2336, 895.12
0, 2297, 847.765
0, 2246, 865.195
0, 2355, 861.605
0, 2309, 849.205
0, 2387, 882.26
0, 2318, 886.905
0, 2243, 912.15
0, 2258, 898.905
0, 2309, 822.74
0, 2273, 880.71
0, 2245, 878.78
0, 2197, 796.325
0, 1986, 735.035
0, 1818, 710.06
0, 1776, 648.635
0, 1754, 688.92
0, 1769, 629.13
0, 1790, 735.81
0, 1747, 646.16
0, 1796, 646.24
0, 1788, 634.995
0, 1762, 668.745
0, 1745, 662.425
0, 1792, 632.24
0, 1762, 660.865
0, 1732, 634.925
0, 1744, 664.425
0, 1824, 627.415
0, 1758, 665.605
0, 1770, 646.44
0, 1729, 679.98
0, 2240, 903.93
0, 2270, 810.89
0, 2331, 845.155
0, 2256, 858.82
0, 2290, 913.045
0, 2259, 895.89
0, 2343, 868.965
0, 2309, 843.255
0, 2273, 920.855
0, 2275, 892.595
0, 2273, 866.08
0, 2267, 873.415
0, 2255, 838.3
0, 2251, 870.825
0, 2288, 891.3
0, 2300, 836.65
0, 2288, 898.255
0, 2287, 896.14
0, 2251, 869.625
0, 2365, 849.89
0, 2306, 837.01
0, 2255, 899.925
0, 2349, 841.07
0, 2249, 914.59
0, 2273, 825.34
0, 2293, 889.745
0, 2335, 844.98
0, 2341, 910.21
0, 2244, 886.155
0, 2304, 914.075
0, 2263, 904.19
0, 2311, 898.81
0, 2288, 845.245
0, 2286, 829.615
0, 2242, 883.775
0, 2297, 804.115
0, 2262, 852.1
0, 2238, 887.69
0, 2271, 870.785
0, 2214, 832.825
0, 2226, 916.31
0, 1342, 318.07
0, 2081, 797.235
0, 2108, 836.765
0, 2112, 853.94
0, 2162, 745.155
0, 2123, 849.82
0, 2144, 771.265
0, 2118, 855.43
0, 2199, 777.08
0, 2166, 832.37
0, 2127, 825.07
0, 2156, 838.535
0, 2140, 776.015
0, 2132, 830.465
0, 2108, 802.225
0, 2103, 748.89
0, 2097, 842.055
0, 2121, 853.795
0, 2102, 874.6
0, 2143, 775.645
0, 2109, 825.89
0, 2127, 791.505
0, 2115, 842.41
0, 2159, 780.22
0, 2168, 686.885
0, 2241, 827.88
0, 2289, 981.545
0, 2294, 876.035
0, 2293, 938.775
0, 2383, 901.7
0, 2307, 894.57
0, 2290, 888.98
0, 2342, 918.41
