min, max, avg
0, 2055, 786.105
0, 2096, 753.315
0, 2110, 794.335
0, 2179, 731.59
0, 2128, 843.345
0, 2211, 785.81
0, 2203, 862.785
0, 2288, 866.62
0, 2238, 846.415
0, 2231, 778.495
0, 2212, 835.515
0, 2279, 830.185
0, 2158, 836.295
0, 2343, 845.125
0, 2267, 866.34
0, 2183, 861.085
0, 2251, 761.45
0, 2246, 810.62
0, 2243, 780.725
0, 2148, 839.9
0, 2235, 847.06
0, 2235, 784.295
0, 2161, 748.46
0, 2188, 843.745
0, 2165, 779.06
0, 2221, 762.34
0, 2164, 801.78
0, 2256, 752.965
0, 2198, 912.445
0, 2224, 779.295
0, 2194, 865.785
0, 2256, 822.965
0, 2176, 869.775
0, 2208, 855.675
0, 2137, 832.27
0, 2291, 821.545
0, 2262, 829.105
0, 2263, 786.805
0, 2215, 754.1
0, 2221, 876.54
0, 2200, 787.815
0, 2209, 843.105
0, 2165, 786.74
0, 2237, 806.685
0, 2240, 803.395
0, 2137, 805.115
0, 2202, 844.085
0, 2174, 782.555
0, 2235, 845.515
0, 2209, 817.355
0, 2230, 827.675
0, 2190, 848.245
0, 2256, 833.005
0, 2195, 766.83
0, 2144, 827.68
0, 2268, 824.805
0, 2264, 834.75
0, 2181, 794.845
0, 2160, 834.98
0, 2197, 764.235
0, 2159, 785.73
0, 2174, 848.77
0, 2239, 840.305
0, 2207, 792.645
0, 2242, 899.605
0, 2207, 866.035
0, 2150, 830.315
0, 2145, 747.46
0, 2241, 795.93
0, 2160, 823.9
0, 2232, 853.585
0, 2251, 769.45
0, 2115, 853.48
0, 2204, 842.395
0, 2209, 819.555
0, 2131, 817
0, 2176, 802.015
0, 2068, 811.305
0, 2160, 762.675
0, 2147, 848.225
0, 2186, 768.855
0, 2210, 845.615
0, 2207, 784.495
0, 2141, 828.47
0, 2155, 840.585
0, 2181, 877.71
0, 2215, 774.88
0, 2269, 901.32
0, 2199, 830.61
0, 2171, 830.68
0, 2176, 791.76
0, 2142, 682.305
0, 1397, 314.515
0, 1990, 700.025
0, 1914, 692.41
0, 2099, 719.9
0, 2130, 757.335
0, 1981, 672.67
0, 2042, 710.17
0, 2135, 813.13
0, 1990, 756.445
0, 2030, 770.215
0, 2105, 766.455
0, 2075, 718.385
0, 1903, 723.57
0, 2311, 859.965
0, 2254, 875.84
0, 2269, 813.735
0, 2133, 801.97
0, 2195, 852.125
0, 2214, 820.535
0, 2217, 810.34
0, 2164, 818.965
0, 2138, 785.94
0, 2229, 737.425
0, 2219, 827.63
0, 2266, 831.115
0, 2195, 858.35
0, 2157, 808.645
0, 2174, 844.02
0, 2185, 836.48
0, 2249, 799.14
0, 2253, 827.305
0, 2237, 777.595
0, 2177, 816.455
0, 2149, 869.45
0, 2171, 779.455
0, 2177, 807.93
0, 2224, 800.455
0, 2221, 885.595
0, 2196, 838.81
0, 2192, 799.345
0, 2177, 766.03
0, 2211, 885.58
0, 2211, 850.055
0, 2160, 841.69
0, 2172, 780.445
0, 2176, 797.485
0, 2159, 799.29
0, 2134, 729.01
0, 2159, 791.765
0, 2163, 797.14
0, 2171, 797.08
0, 2163, 834.905
0, 2156, 817.51
0, 2178, 836.51
0, 2169, 773.4
0, 2231, 854.485
0, 2197, 852.25
0, 2266, 893.475
0, 2159, 842.965
0, 2242, 798.315
0, 2135, 819.02
0, 2180, 851.665
0, 2243, 798.245
0, 2147, 783.89
0, 2277, 801.26
0, 1905, 635.635
0, 2126, 739.86
0, 2080, 779.615
0, 2134, 831.895
0, 2203, 749.535
0, 2145, 847.525
0, 2176, 755.975
0, 2177, 859.735
0, 2171, 782.445
0, 2298, 815.125
0, 2217, 769.8
0, 2160, 867.55
0, 2235, 831.07
0, 2255, 824.56
0, 2223, 802.615
0, 2192, 805.665
0, 2233, 826.82
0, 2170, 811.78
0, 2183, 820.655
0, 2241, 807.415
0, 2192, 811.445
0, 2225, 835.875
0, 2167, 846.475
0, 2278, 774.365
0, 2195, 782.55
0, 2191, 813.115
0, 2155, 820.725
0, 2194, 812.2
0, 2164, 782.755
0, 2175, 835.065
0, 2207, 745
0, 2171, 810.915
0, 2239, 776.27
0, 2160, 849.28
0, 2220, 852.25
0, 2223, 805.165
0, 2140, 753.485
0, 2142, 774.415
0, 2199, 834.595
0, 2226, 825.095
0, 2158, 854.64
0, 2267, 837.905
0, 2231, 836.86
0, 2195, 812.79
0, 2192, 808.13
0, 2172, 829.165
0, 2209, 769.44
0, 2160, 812.575
0, 2278, 805.94
0, 2153, 818.325
0, 2238, 728.005
0, 2176, 824.48
0, 2159, 813.765
0, 2151, 787.06
0, 2256, 783.725
0, 2176, 866.415
0, 2131, 756.015
0, 2205, 878.675
0, 2147, 799.77
0, 2263, 784.27
0, 2197, 804.2
0, 2183, 794.54
0, 2158, 748.95
0, 2176, 845.2
0, 2204, 799.75
0, 2192, 835.185
0, 2192, 828.76
0, 2157, 788.44
0, 2161, 847.545
0, 2166, 853.965
0, 2249, 787.04
0, 2137, 757.655
0, 2230, 863.45
0, 2226, 797.76
0, 2134, 816.87
0, 2178, 802.815
0, 2181, 839.71
0, 2176, 725.555
0, 2151, 860.735
0, 2182, 805.63
0, 2150, 850.155
0, 2206, 811.3
0, 2184, 800.045
0, 2130, 778.285
0, 2160, 833.015
0, 2128, 748.59
0, 2234, 803.955
0, 2194, 784.77
0, 2133, 846.46
0, 2217, 797.89
0, 2151, 876.585
0, 2137, 815.98
0, 2143, 788.765
0, 2170, 762.135
0, 2153, 743.36
0, 2158, 857.47
0, 2158, 790.99
0, 2203, 789.075
0, 2189, 836.93
0, 2209, 773.445
0, 2128, 808.165
0, 2177, 765.875
0, 2159, 791.695
0, 2176, 820.945
0, 2185, 799.94
0, 2175, 828.36
0, 2143, 840.785
0, 2215, 760
0, 2160, 769.19
0, 2199, 797.725
0, 2227, 732.615
0, 2189, 828.785
0, 2155, 844.33
0, 2154, 811.935
0, 2131, 788.93
0, 2137, 851.175
0, 2242, 820.25
0, 2135, 825.875
0, 2233, 822.345
0, 2154, 849.575
0, 2167, 764.095
0, 2147, 792.675
0, 2159, 817.995
0, 2213, 799.235
0, 1878, 625.015
0, 2171, 787.29
0, 2251, 826.63
0, 2220, 907.095
0, 2192, 797.915
0, 2211, 819.285
0, 2174, 820.84
0, 2194, 804.045
0, 2176, 808.7
0, 2259, 839.925
0, 2205, 817.83
0, 2238, 865.685
0, 2199, 817.485
0, 2142, 834.405
0, 2187, 762.84
0, 2141, 793.155
0, 2091, 774.51
0, 2178, 813.31
0, 2181, 814.925
0, 2249, 812.9
0, 2153, 789.725
0, 2142, 856.355
0, 2127, 850.275
0, 2221, 807.85
0, 2162, 816.175
0, 2178, 777.71
0, 2157, 800.825
0, 2203, 699.835
0, 2160, 826.27
0, 2151, 779.295
0, 2239, 815.42
0, 2103, 756.69
0, 2124, 837.95
0, 2139, 834.285
0, 2107, 789.77
0, 2173, 803.34
0, 2130, 794.77
0, 2154, 827.335
0, 2176, 791.82
0, 2160, 751.045
0, 2251, 837.83
0, 2110, 799.725
0, 2162, 794.985
0, 2159, 780.8
0, 2152, 812.39
0, 2250, 782.43
0, 2214, 820.7
0, 2171, 751.4
0, 2147, 824.065
0, 2179, 780.585
0, 2129, 878.31
0, 2122, 838.03
0, 2221, 790.36
0, 2167, 760.87
0, 2130, 833.925
0, 2227, 795.775
0, 2138, 800.015
0, 2126, 824.505
0, 2179, 795.395
0, 2178, 834.645
0, 2127, 797.485
0, 2125, 833.355
0, 2160, 820.085
0, 2128, 816.87
0, 2215, 813.705
0, 2125, 846.905
0, 2171, 803.965
0, 2160, 828.485
0, 2109, 773.02
0, 2103, 786.1
0, 2126, 838.49
0, 2139, 826.95
0, 2155, 756.36
0, 2113, 827.26
0, 2176, 761.41
0, 2106, 800.505
0, 2098, 798.77
0, 2158, 723.555
0, 2110, 802.5
0, 2102, 811.73
0, 2122, 858.225
0, 2196, 783.47
0, 2122, 763.5
0, 2156, 765.59
0, 2103, 826.835
0, 2160, 815.73
0, 2107, 793.57
0, 2171, 783.885
0, 2155, 835.665
0, 2162, 771.255
0, 2117, 783.25
0, 2141, 764.32
0, 2123, 811.395
0, 2105, 809.255
0, 2080, 798.83
0, 2109, 799.755
0, 2119, 758.41
0, 2134, 721.565
0, 2163, 782.01
0, 2128, 808.165
0, 2101, 769.665
0, 2080, 747.695
0, 2103, 804.75
0, 2155, 749.795
0, 2197, 726.31
0, 2096, 766.345
0, 2096, 801.595
0, 2107, 782.26
0, 2188, 813.13
0, 2156, 775.515
0, 2163, 815.315
0, 2139, 835.38
0, 2138, 739.05
0, 2118, 830.43
0, 2163, 714.43
0, 2219, 811.245
0, 2096, 739.44
0, 2114, 681.65
0, 2122, 813.37
0, 2171, 767.91
0, 2112, 779.12
0, 2150, 736.645
0, 2158, 829.17
0, 2128, 784.75
0, 2106, 803.91
0, 1505, 182.635
0, 1251, 276.885
0, 1927, 683.665
0, 2055, 713.045
0, 2000, 485.59
0, 1882, 696.08
0, 1967, 700.205
